Day;Month;Year;Hour;Load;Ppv1k;Temp;Wind
1;1;2016;0;1453.0;0;10.23;3.78
1;1;2016;1;1331.0;0;10.69;5.28
1;1;2016;2;1214.0;0;11.14;6.78
1;1;2016;3;1146.0;0;11.6;8.28
1;1;2016;4;1078.0;0;11.39;9.6
1;1;2016;5;1035.0;0;11.18;10.91
1;1;2016;6;1032.0;0;10.97;12.23
1;1;2016;7;1072.0;0;11.14;12.61
1;1;2016;8;1142.0;0;11.31;12.98
1;1;2016;9;1208.0;0.07;11.49;13.35
1;1;2016;10;1299.0;0;11.65;14.18
1;1;2016;11;1352.0;0;11.82;15.02
1;1;2016;12;1363.0;0;11.98;15.85
1;1;2016;13;1366.0;0;12.09;15.83
1;1;2016;14;1336.0;0;12.19;15.8
1;1;2016;15;1336.0;0;12.3;15.78
1;1;2016;16;1307.0;0;12.31;15.99
1;1;2016;17;1315.0;0;12.32;16.19
1;1;2016;18;1396.0;0;12.34;16.4
1;1;2016;19;1432.0;0;12.26;16.53
1;1;2016;20;1452.0;0;12.19;16.66
1;1;2016;21;1580.0;0;12.11;16.79
1;1;2016;22;1692.0;0;12.08;16.32
1;1;2016;23;1521.0;0;12.06;15.85
2;1;2016;0;1344.0;0;12.04;15.38
2;1;2016;1;1200.0;0;11.82;15.69
2;1;2016;2;1071.0;0;11.61;16
2;1;2016;3;1036.0;0;11.4;16.3
2;1;2016;4;1059.0;0;11.09;16.9
2;1;2016;5;1043.0;0;10.77;17.5
2;1;2016;6;1029.0;0;10.46;18.1
2;1;2016;7;1070.0;0;10.36;18.76
2;1;2016;8;1197.0;0;10.25;19.42
2;1;2016;9;1339.0;25.91;10.15;20.08
2;1;2016;10;1352.0;11.78;10.06;19.68
2;1;2016;11;1314.0;9.98;9.98;19.28
2;1;2016;12;1273.0;0;9.89;18.88
2;1;2016;13;1160.0;49.17;9.92;17.97
2;1;2016;14;1098.0;188.44;9.94;17.06
2;1;2016;15;1075.0;17.93;9.97;16.15
2;1;2016;16;1106.0;2.34;10.17;15.06
2;1;2016;17;1142.0;0;10.37;13.97
2;1;2016;18;1262.0;0;10.57;12.88
2;1;2016;19;1257.0;0;10.9;12.08
2;1;2016;20;1251.0;0;11.22;11.27
2;1;2016;21;1365.0;0;11.55;10.47
2;1;2016;22;1499.0;0;11.37;11.36
2;1;2016;23;1324.0;0;11.2;12.25
3;1;2016;0;1176.0;0;11.03;13.14
3;1;2016;1;1073.0;0;11;14.22
3;1;2016;2;946.0;0;10.97;15.29
3;1;2016;3;916.0;0;10.94;16.36
3;1;2016;4;932.0;0;11.34;16.38
3;1;2016;5;943.0;0;11.73;16.4
3;1;2016;6;926.0;0;12.13;16.41
3;1;2016;7;924.0;0;12.11;15.58
3;1;2016;8;960.0;0;12.09;14.74
3;1;2016;9;1075.0;27.98;12.07;13.9
3;1;2016;10;1145.0;432.06;11.85;14.1
3;1;2016;11;1146.0;106.64;11.64;14.29
3;1;2016;12;1129.0;0;11.42;14.48
3;1;2016;13;1023.0;492.74;11.28;14.53
3;1;2016;14;948.0;153.18;11.14;14.58
3;1;2016;15;891.0;86.08;11.01;14.63
3;1;2016;16;907.0;0;10.89;15.11
3;1;2016;17;934.0;0;10.78;15.58
3;1;2016;18;1045.0;0;10.67;16.06
3;1;2016;19;1086.0;0;10.74;16.41
3;1;2016;20;1073.0;0;10.81;16.77
3;1;2016;21;1210.0;0;10.88;17.13
3;1;2016;22;1343.0;0;10.88;17.24
3;1;2016;23;1213.0;0;10.88;17.35
4;1;2016;0;1088.0;0;10.88;17.46
4;1;2016;1;972.0;0;10.9;17.55
4;1;2016;2;880.0;0;10.93;17.65
4;1;2016;3;863.0;0;10.96;17.74
4;1;2016;4;857.0;0;10.92;17.7
4;1;2016;5;866.0;0;10.89;17.66
4;1;2016;6;884.0;0;10.85;17.63
4;1;2016;7;932.0;0;10.71;17.49
4;1;2016;8;978.0;0;10.56;17.36
4;1;2016;9;1037.0;0;10.42;17.23
4;1;2016;10;1100.0;24.59;10.36;16.91
4;1;2016;11;1091.0;4.89;10.31;16.58
4;1;2016;12;1101.0;113;10.25;16.26
4;1;2016;13;1046.0;0;10.37;16.05
4;1;2016;14;939.0;520.39;10.48;15.83
4;1;2016;15;928.0;173.77;10.6;15.61
4;1;2016;16;941.0;22.56;10.56;15.91
4;1;2016;17;972.0;0;10.52;16.21
4;1;2016;18;1069.0;0;10.48;16.51
4;1;2016;19;1119.0;0;10.47;16.45
4;1;2016;20;1115.0;0;10.47;16.38
4;1;2016;21;1199.0;0;10.46;16.32
4;1;2016;22;1289.0;0;10.41;16.24
4;1;2016;23;1170.0;0;10.37;16.16
5;1;2016;0;1065.0;0;10.33;16.08
5;1;2016;1;991.0;0;10.33;16
5;1;2016;2;922.0;0;10.34;15.93
5;1;2016;3;859.0;0;10.35;15.85
5;1;2016;4;871.0;0;10.27;15.72
5;1;2016;5;861.0;0;10.2;15.6
5;1;2016;6;878.0;0;10.12;15.48
5;1;2016;7;932.0;0;10.16;15.08
5;1;2016;8;1015.0;0;10.2;14.68
5;1;2016;9;1063.0;2.68;10.25;14.28
5;1;2016;10;1068.0;1.16;10.26;13.85
5;1;2016;11;1079.0;0;10.27;13.42
5;1;2016;12;1063.0;0;10.28;12.99
5;1;2016;13;995.0;818.76;10.16;12.83
5;1;2016;14;970.0;221.93;10.04;12.66
5;1;2016;15;962.0;10.33;9.93;12.5
5;1;2016;16;957.0;1.7;10.12;12.18
5;1;2016;17;976.0;0;10.32;11.87
5;1;2016;18;1069.0;0;10.52;11.56
5;1;2016;19;1123.0;0;10.5;11.74
5;1;2016;20;1121.0;0;10.47;11.92
5;1;2016;21;1232.0;0;10.45;12.1
5;1;2016;22;1315.0;0;10.57;12.29
5;1;2016;23;1173.0;0;10.69;12.48
6;1;2016;0;1045.0;0;10.82;12.68
6;1;2016;1;1001.0;0;10.83;12.63
6;1;2016;2;921.0;0;10.84;12.57
6;1;2016;3;875.0;0;10.85;12.52
