fc_elyz_capex,shed_max,dispatch,algo,srand,ret,numevals,lcoe_opt,shed_rate_opt,capex,opex,xopt_sto,xopt_pv,xopt_wind,xopt_elyz,xopt_fc,xopt_hyTank
1600.0,0.0,1,GN_CRS2_LM,1,XTOL_REACHED,4362,0.4600114766662058,0.0,3.354355593800089e7,9.193571850207703e6,13594.78,15906.12,1827.49,131.77,1406.59,25605.0
1600.0,0.0,1,GN_CRS2_LM,2,XTOL_REACHED,2709,0.47582473157581534,0.0,3.437608380085492e7,9.500002460899046e6,17070.0,16171.16,1649.25,85.18,1404.41,25605.0
1600.0,0.0,1,GN_CRS2_LM,3,XTOL_REACHED,4521,0.4686303720902407,0.0,3.397414216379065e7,9.210642822546696e6,16886.76,16675.05,1356.32,131.17,1410.17,25605.0
1600.0,0.0,1,GN_CRS2_LM,4,XTOL_REACHED,5068,0.44247272342215266,0.0,3.171664193530792e7,8.96884666458409e6,16990.67,13502.3,1814.56,86.85,1398.11,25486.0
1600.0,0.0,1,GN_CRS2_LM,5,XTOL_REACHED,5339,0.46226530985241904,0.0,3.364199949623372e7,9.181940230569713e6,14770.07,16172.83,1648.84,125.95,1407.6,25605.0
1600.0,0.0,1,GN_CRS2_LM,6,XTOL_REACHED,2595,0.47993484676108533,0.0,3.461738964576895e7,9.65686506058519e6,17070.0,15913.85,1813.58,74.49,1399.44,25605.0
1600.0,0.0,1,GN_CRS2_LM,7,XTOL_REACHED,3648,0.4756168087553122,0.0,3.436394889189841e7,9.495841418710563e6,17050.65,16175.93,1647.62,83.93,1402.32,25597.6
1600.0,0.0,1,GN_CRS2_LM,8,XTOL_REACHED,3206,0.47996856110908026,0.0,3.4623884272568345e7,9.660006605048366e6,17070.0,15915.21,1815.7,70.83,1401.51,25605.0
1600.0,0.0,1,GN_CRS2_LM,9,XTOL_REACHED,2296,0.4797946478368154,0.0,3.4609539930672474e7,9.654653469754465e6,17070.0,15916.31,1811.81,72.24,1398.82,25605.0
1600.0,0.0,1,GN_CRS2_LM,10,XTOL_REACHED,10657,0.46051745368519426,0.0,3.354108636068812e7,9.15582531811468e6,14336.61,16106.77,1687.11,131.86,1399.29,25579.69
1600.0,0.0,1,GN_ISRES,1,XTOL_REACHED,38694,0.4628301920607581,0.0,3.365695461623748e7,9.179751630310686e6,14760.35,16178.57,1645.1,154.13,1401.18,19110.06
1600.0,0.0,1,GN_ISRES,2,XTOL_REACHED,40980,0.46574631016438317,0.0,3.382280348035343e7,9.131521756177336e6,15999.52,16601.81,1395.82,213.24,1408.61,12958.17
1600.0,0.0,1,GN_ISRES,3,MAXEVAL_REACHED,100000,0.42709321558353736,0.0,3.1195791460454922e7,8.369265232011723e6,16553.83,12465.94,1520.34,1090.55,1594.19,16478.6
1600.0,0.0,1,GN_ISRES,4,XTOL_REACHED,33935,0.46055453516088146,0.0,3.3543330546961915e7,9.155876812600965e6,14336.55,16107.96,1686.78,132.87,1399.67,25430.34
1600.0,0.0,1,GN_ISRES,5,MAXEVAL_REACHED,100000,0.43351861593655827,0.0,3.2191834680942405e7,8.278756231781514e6,15361.35,12568.0,1462.15,1849.84,1760.96,24653.82
1600.0,0.0,1,GN_ISRES,6,XTOL_REACHED,36234,0.46303423598287086,0.0,3.3678635628989905e7,9.203275719687758e6,14912.73,16167.42,1651.89,121.91,1400.73,25594.58
1600.0,0.0,1,GN_ISRES,7,XTOL_REACHED,38707,0.46155939035370314,0.0,3.36122196264032e7,9.163609131965902e6,14329.93,16105.0,1688.13,190.6,1399.28,11689.42
1600.0,0.0,1,GN_ISRES,8,XTOL_REACHED,36600,0.4645007049007665,0.0,3.3749458614223346e7,9.136220102117376e6,16020.75,16580.2,1408.48,138.68,1408.74,25587.32
1600.0,0.0,1,GN_ISRES,9,XTOL_REACHED,37121,0.46304269330041503,0.0,3.367871480462255e7,9.203453135845914e6,14916.39,16167.1,1651.73,121.91,1400.58,25589.62
1600.0,0.0,1,GN_ISRES,10,MAXEVAL_REACHED,100000,0.46255059748793653,0.0,3.364527814943238e7,9.165695655097432e6,14405.12,16145.33,1673.85,183.84,1406.7,16309.71
1600.0,0.0,1,LN_SBPLX,1,XTOL_REACHED,886,0.47445339705919276,1.3761906766526756e-6,3.427805042261207e7,9.543011074352331e6,15959.92,15723.91,1877.7,119.58,1398.0,14753.5
1600.0,0.0,1,LN_SBPLX,2,XTOL_REACHED,852,0.47932446930640504,0.0,3.458500168666995e7,9.647718152839866e6,16979.36,15907.44,1817.95,70.86,1398.0,25518.35
1600.0,0.0,1,LN_SBPLX,3,XTOL_REACHED,377,0.5003248252265573,1.1508988564851483e-5,3.618585037014371e7,1.0064730267786385e7,17028.39,17070.0,1877.7,57.69,1398.25,25605.0
1600.0,0.0,1,LN_SBPLX,4,XTOL_REACHED,1110,0.4722874609125393,1.3761887508409423e-6,3.415375489896214e7,9.485699640800603e6,15535.55,15723.91,1877.7,138.18,1398.0,11248.51
1600.0,0.0,1,LN_SBPLX,5,XTOL_REACHED,467,0.5020632769373404,1.1508988564851483e-5,3.625670068369221e7,1.007685903893639e7,17070.0,17070.0,1877.7,105.53,1398.0,13038.12
1600.0,0.0,1,LN_SBPLX,6,XTOL_REACHED,716,0.49258529587977934,6.841208749852342e-6,3.556653961804693e7,9.894114002614466e6,16745.9,16580.22,1877.7,112.62,1398.0,12827.4
1600.0,0.0,1,LN_SBPLX,7,XTOL_REACHED,435,0.5001611454211539,1.1508988564851483e-5,3.617684182161407e7,1.0061126291639447e7,17002.87,17070.0,1877.7,57.89,1398.0,25605.0
1600.0,0.0,1,LN_SBPLX,8,XTOL_REACHED,845,0.5004832259807376,1.1508988564851483e-5,3.619417823065872e7,1.0068308551682536e7,17054.23,17070.0,1877.7,57.5,1398.0,25605.0
1600.0,0.0,1,LN_SBPLX,9,XTOL_REACHED,755,0.5009342493139007,1.1508988564851483e-5,3.620629482312217e7,1.0063991574227143e7,16998.92,17070.0,1877.7,83.87,1398.0,18815.37
1600.0,0.0,1,LN_SBPLX,10,XTOL_REACHED,678,0.4949588428770875,1.1508988564851483e-5,3.589463831842307e7,9.94252952789517e6,16151.46,17070.0,1877.7,67.86,1398.0,25511.52
1600.0,0.0,2,GN_CRS2_LM,1,XTOL_REACHED,7476,0.29066224413828623,0.0,1.942547818473377e7,4.695196053421637e6,385.25,5369.67,1877.7,1941.46,1461.79,18913.38
1600.0,0.0,2,GN_CRS2_LM,2,XTOL_REACHED,6312,0.2906326340658707,0.0,1.937495787466314e7,4.669917295446484e6,386.02,5251.03,1877.7,1998.13,1462.28,18998.41
1600.0,0.0,2,GN_CRS2_LM,3,XTOL_REACHED,8282,0.2904290453528837,0.0,1.931347948100528e7,4.643335256426433e6,386.38,5130.7,1877.7,2062.43,1449.6,19110.61
1600.0,0.0,2,GN_CRS2_LM,4,XTOL_REACHED,6571,0.2904344847833448,0.0,1.9311659226849884e7,4.642354677192502e6,385.95,5126.32,1877.7,2064.65,1449.62,19117.75
1600.0,0.0,2,GN_CRS2_LM,5,XTOL_REACHED,3634,0.2926608230217043,0.0,1.935798773441256e7,4.670019768611068e6,385.97,5264.01,1877.7,1970.99,1462.56,25605.0
1600.0,0.0,2,GN_CRS2_LM,6,XTOL_REACHED,7598,0.2904346573389992,0.0,1.9310584544515695e7,4.641606694406838e6,385.49,5122.9,1877.7,2066.49,1449.8,19104.24
1600.0,0.0,2,GN_CRS2_LM,7,XTOL_REACHED,8019,0.2906649260448329,0.0,1.9419689712794676e7,4.692232388693764e6,385.21,5355.76,1877.7,1947.94,1462.15,18900.23
1600.0,0.0,2,GN_CRS2_LM,8,XTOL_REACHED,3893,0.2926857653577982,0.0,1.9360794674637325e7,4.671434296213438e6,390.57,5267.76,1877.7,1969.81,1461.68,25605.0
1600.0,0.0,2,GN_CRS2_LM,9,XTOL_REACHED,7170,0.2904323992768463,0.0,1.931309166419405e7,4.643128181638736e6,386.69,5129.53,1877.7,2063.01,1449.59,19114.19
1600.0,0.0,2,GN_CRS2_LM,10,XTOL_REACHED,3244,0.292692097650958,0.0,1.9352661688461915e7,4.667468590095151e6,388.94,5250.33,1877.7,1977.54,1462.29,25605.0
1600.0,0.0,2,GN_ISRES,1,XTOL_REACHED,36081,0.2904232744739024,0.0,1.931376445301552e7,4.643292550056752e6,385.48,5131.03,1877.68,2062.64,1449.59,19097.12
1600.0,0.0,2,GN_ISRES,2,XTOL_REACHED,38666,0.2904186962981445,0.0,1.931309969026286e7,4.643029422491734e6,385.18,5129.99,1877.68,2062.95,1449.69,19090.86
1600.0,0.0,2,GN_ISRES,3,XTOL_REACHED,27626,0.2904584877623539,0.0,1.931396435229803e7,4.642635281427499e6,385.6,5127.09,1877.68,2064.83,1450.44,19101.04
1600.0,0.0,2,GN_ISRES,4,XTOL_REACHED,33136,0.29063841889734016,0.0,1.9383319697194487e7,4.673817053835422e6,385.79,5269.27,1877.67,1989.65,1462.43,18983.39
1600.0,0.0,2,GN_ISRES,5,XTOL_REACHED,38653,0.2906646685819012,0.0,1.941819680001564e7,4.69154843284952e6,385.35,5352.6,1877.69,1949.3,1462.22,18897.85
1600.0,0.0,2,GN_ISRES,6,XTOL_REACHED,36572,0.2904871800493542,0.0,1.930904499299265e7,4.639639080423785e6,385.43,5112.86,1877.65,2072.87,1450.1,19109.92
1600.0,0.0,2,GN_ISRES,7,XTOL_REACHED,30553,0.2904876247333341,0.0,1.931251255481567e7,4.641855346492039e6,387.48,5122.4,1877.65,2067.48,1450.01,19138.85
1600.0,0.0,2,GN_ISRES,8,XTOL_REACHED,39282,0.29042090142895743,0.0,1.931353636660214e7,4.643202674926699e6,385.28,5130.75,1877.68,2062.7,1449.65,19094.31
1600.0,0.0,2,GN_ISRES,9,XTOL_REACHED,34002,0.29080843078851665,0.0,1.9469710088756952e7,4.714501559231988e6,385.54,5457.06,1877.67,1906.25,1459.19,18817.1
1600.0,0.0,2,GN_ISRES,10,XTOL_REACHED,29000,0.2906855170480822,0.0,1.9427059240034886e7,4.695770799873864e6,388.08,5370.63,1877.66,1941.29,1461.7,18913.02
1600.0,0.0,2,LN_SBPLX,1,XTOL_REACHED,817,0.3156952125790531,0.0,2.027232130954568e7,4.594269514631603e6,485.27,4312.51,1877.7,3255.11,1445.64,21720.93
1600.0,0.0,2,LN_SBPLX,2,XTOL_REACHED,1051,0.36576936541289223,0.0,2.487851907054826e7,6.616879358001562e6,7527.17,9096.69,1876.05,1065.71,1393.25,17382.81
1600.0,0.0,2,LN_SBPLX,3,XTOL_REACHED,1028,0.30240688625082907,0.0,2.0517927148807228e7,5.070297883299493e6,435.55,6925.11,1877.7,1507.01,1394.83,25605.0
1600.0,0.0,2,LN_SBPLX,4,XTOL_REACHED,830,0.2935108376015051,0.0,1.940830735161394e7,4.70126593957621e6,1020.18,5016.1,1877.7,2125.19,1393.25,19289.07
1600.0,0.0,2,LN_SBPLX,5,XTOL_REACHED,1334,0.338582913781516,0.0,2.3641630265038196e7,5.872792858695003e6,441.87,9912.98,1877.69,1220.37,1394.01,23076.48
