fc_elyz_capex,shed_max,dispatch,algo,srand,ret,numevals,lcoe_opt,shed_rate_opt,capex,opex,xopt_sto,xopt_pv,xopt_wind,xopt_elyz,xopt_fc,xopt_hyTank
1600.0,0.0,1,GN_CRS2_LM,1,XTOL_REACHED,21888,0.5165045846096706,0.0,3.549737106262402e7,1.0422121302978655e7,30304.47,12227.84,1811.59,76.75,990.08,2732.21
1600.0,0.0,1,GN_CRS2_LM,2,XTOL_REACHED,23035,0.4946566054148301,0.0,3.66674250461895e7,9.13979776624365e6,16979.5,16846.28,1251.93,254.45,1398.0,5348.99
1600.0,0.0,1,GN_CRS2_LM,3,XTOL_REACHED,20841,0.5191261616974635,0.0,3.725181937943286e7,9.904455142795887e6,23347.45,16995.43,1171.63,145.15,1069.9,3671.42
1600.0,0.0,1,GN_CRS2_LM,4,XTOL_REACHED,33104,0.42871377421826723,0.0,3.194986604315152e7,7.858355749899459e6,14406.94,12391.17,1482.9,335.07,1398.0,6528.59
1600.0,0.0,1,GN_CRS2_LM,5,XTOL_REACHED,19458,0.533624962694571,0.0,3.770736351584378e7,1.0625682342390032e7,24400.93,15913.18,1811.59,61.05,983.0,2513.25
1600.0,0.0,1,GN_CRS2_LM,6,XTOL_REACHED,34149,0.5191262685210727,0.0,3.72521831966306e7,9.904248081551101e6,23347.54,16996.31,1171.27,145.41,1069.87,3671.71
1600.0,0.0,1,GN_CRS2_LM,7,XTOL_REACHED,13242,0.519542583827272,0.0,3.7299614135370165e7,9.90013675642841e6,23353.23,17070.0,1152.01,157.62,1067.98,3687.44
1600.0,0.0,1,GN_CRS2_LM,8,XTOL_REACHED,13759,0.5195425897170836,0.0,3.729961442321192e7,9.900137141253967e6,23353.23,17070.0,1152.01,157.62,1067.98,3687.43
1600.0,0.0,1,GN_CRS2_LM,9,XTOL_REACHED,15504,0.5355475419480635,0.0,3.781753948198055e7,1.069886310175563e7,24386.28,15853.28,1877.7,53.61,983.0,2448.82
1600.0,0.0,1,GN_CRS2_LM,10,XTOL_REACHED,17949,0.5473049489226368,0.0,3.836931410777567e7,1.0980966523872884e7,26551.32,15782.52,1877.7,31.73,983.0,2276.36
1600.0,0.0,1,GN_ISRES,1,MAXEVAL_REACHED,100000,0.4878280520858122,0.0,3.6262275839900866e7,9.206055126488132e6,14760.1,16168.48,1652.6,262.29,1428.7,4792.9
1600.0,0.0,1,GN_ISRES,2,XTOL_REACHED,66964,0.5212816790782555,0.0,3.732038706161411e7,1.0051250310091231e7,23316.35,16699.58,1338.22,136.02,1077.49,3379.94
1600.0,0.0,1,GN_ISRES,3,XTOL_REACHED,72958,0.485750986954962,0.0,3.6159277770599395e7,9.183539953805862e6,14328.56,16104.71,1688.17,336.66,1398.0,4653.52
1600.0,0.0,1,GN_ISRES,4,MAXEVAL_REACHED,100000,0.4905721089061986,0.0,3.676435507776079e7,9.124544637568407e6,14341.51,16703.96,1500.29,500.74,1482.61,4934.13
1600.0,0.0,1,GN_ISRES,5,MAXEVAL_REACHED,100000,0.5024287432329946,7.636776015044841e-9,3.685246574537992e7,9.578439535865773e6,22732.03,13240.33,1564.26,1259.78,1841.48,3529.2
